element,wavelength,intensity,acc,state,source,reference,unit
Tb,1176.58,0,,4,nist,L3689,A
Tb,1192.01,0,,4,nist,L3689,A
Tb,1200.58,0,,4,nist,L3689,A
Tb,1213.94,0,,4,nist,L3689,A
Tb,1221.22,0,,4,nist,L3689,A
Tb,1235.04,500,,4,nist,L3689,A
Tb,1259.40,1000,,4,nist,L3689,A
Tb,1301.48,300,,4,nist,L3689,A
Tb,1308.30,300,,4,nist,L3689,A
Tb,1311.70,600,,4,nist,L3689,A
Tb,1315.12,700,,4,nist,L3689,A
Tb,1325.56,500,,4,nist,L3689,A
Tb,1327.67,1000,,4,nist,L3689,A
Tb,1367.56,100,,4,nist,L3689,A
Tb,1367.71,400,,4,nist,L3689,A
Tb,1369.64,700,,4,nist,L3689,A
Tb,1373.86,1000,,4,nist,L3689,A
Tb,1376.46,400,,4,nist,L3689,A
Tb,1378.23,200,,4,nist,L3689,A
Tb,1381.00,300,,4,nist,L3689,A
Tb,1382.83,100,,4,nist,L3689,A
Tb,1389.92,0,,4,nist,L3689,A
Tb,1516.17,200,,4,nist,L3689,A
Tb,1530.10,0,,4,nist,L3689,A
Tb,1595.39,5000,,4,nist,L3689,A
Tb,1633.19,2000,,4,nist,L3689,A
Tb,1649.38,300,,4,nist,L3689,A
Tb,1654.75,400,,4,nist,L3689,A
Tb,1667.58,400,,4,nist,L3689,A
Tb,1672.55,200,,4,nist,L3689,A
Tb,1681.98,400,,4,nist,L3689,A
Tb,1684.46,0,,4,nist,L3689,A
Tb,1685.37,100,,4,nist,L3689,A
Tb,1691.95,400,,4,nist,L3689,A
Tb,1695.23,0,,4,nist,L3689,A
Tb,1698.36,300,,4,nist,L3689,A
Tb,1701.60,0,,4,nist,L3689,A
Tb,1704.79,0,,4,nist,L3689,A
Tb,1705.05,0,,4,nist,L3689,A
Tb,1943.94,0,,4,nist,L3689,A
Tb,1970.90,0,,4,nist,L3689,A
Tb,2028.44,2000,,4,nist,L3689,A
Tb,2029.87,200,,4,nist,L3689,A
Tb,2049.54,400,,4,nist,L3689,A
Tb,2079.49,200,,4,nist,L3689,A
Tb,2090.64,1000,,4,nist,L3689,A
Tb,2333.26,1000,,4,nist,L3689,A
Tb,2436.75,100,,4,nist,L3689,A
